0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
2.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,-10.0,-5.286877155303955,-13.39100456237793,-11.609813690185547
2.0,1.0,1.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,-2.2187395095825195,-4.551599025726318,-15.002614974975586,-11.856378555297852
2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,-8.234224319458008,-11.942779541015625,-11.513805389404297,-8.424837112426758
2.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,5.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,-9.199082374572754,-15.0,-14.396409034729004,-10.904656410217285
2.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,-9.962053298950195,-13.78342056274414,-14.981624603271484,-11.187479972839355
2.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,-6.833796501159668,-9.848081588745117,-13.181318283081055,-10.341347694396973
2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,-9.617437362670898,-12.805286407470703,-11.10329818725586,-10.0
2.0,1.0,3.0,4.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,-3.757115125656128,-6.194230079650879,-13.776655197143555,-12.828923225402832
2.0,1.0,1.0,6.0,1.0,5.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,-3.789245128631592,-6.2998528480529785,-16.42343521118164,-13.967374801635742
2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,5.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,-10.942180633544922,-15.834761619567871,-12.264368057250977,-8.18967342376709
